20 0.47 -64.5133515
40 2.21 -64.5274148
60 8.63 -64.5287147
80 20.62 -64.5289723
100 35.50 -64.5289886
120 71.32 -64.5289886
140 102.80 -64.5289881
160 173.81 -64.5289877
180 274.93 -64.5289874
200 363.76 -64.5289872
220 419.55 -64.5289870
240 547.14 -64.5289869
260 735.21 -64.5289867
280 919.80 -64.5289866
